,Unnamed: 0,Unnamed: 0.1,Unique ID,Macaddress,Temperature,Light,packets,namespace,txPower,interval,batteryLevel,Floor,location_id,zone_predicted,zone_to_use,zone_truth,N_True,N_False,N_total,N_false/N_total,node_or_neighbor,node_or_neighbor/N_total
0,0,25,suH12V,D3:15:5E:63:07,22,10,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00101,1,350,100,1,1,L1_SLL_corridor,L1_SLL_corridor,"{'L1_Entrance_1': 19, 'L1_SLL_corridor': 38, 'L1_RR_walkway': 9, 'L1_SLL': 1}",38,29,67,0.432835821,67,1
1,1,24,suGK0Z,CB:F7:28:AF:BA,21,19,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00102,3,350,100,1,2,L1_Entrance_1,L1_Entrance_1,"{'L1_Entrance_1_lobby': 4, 'L1_Entrance_1': 46, 'L1_SLL_corridor': 7}",46,11,57,0.192982456,57,1
2,2,98,suuG7M,DD:68:34:4B:C8,24,4,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00103,1,350,100,1,3,L1_SLL,L1_SLL,"{'L1_SLL': 10, 'L1_SLL_corridor': 2}",10,2,12,0.166666667,12,1
3,3,93,sutA3Z,C4:5C:4B:0B:1B,24,21,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00104,1,350,100,1,4,L1_RR_walkway,L1_RR_walkway,"{'L1_SLL_corridor': 4, 'L1_RR_walkway': 17}",17,4,21,0.19047619,21,1
4,4,13,su9R8x,D0:AB:29:0A:CC,25,14,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00105,1,350,100,1,5,L1_CLL,L1_CLL,"{'L1_Shop_walkway_1': 12, 'L1_CLL': 12, 'L1_Yassin_walkway': 1}",12,13,25,0.52,24,0.96
5,5,4,su2hnK,D1:F9:8C:95:C3,24,10,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00106,3,350,100,1,6,L1_Shop_walkway_2,L1_Shop_walkway_2,"{'L1_Shop_walkway_1': 9, 'L1_CLL': 10, 'L1_Shop_walkway_2': 20, 'L1_ELL': 4, 'L1_Yassin_walkway': 1, 'L1_Shop_walkway_3': 3}",20,27,47,0.574468085,32,0.680851064
6,6,16,suBuQI,CE:73:E6:9C:CF,22,16,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00107,1,350,100,1,7,L1_Shop_walkway_3,L1_Shop_walkway_3,"{'L1_Shop_walkway_2': 10, 'L1_Shop_walkway_3': 14, 'L1_ELL': 1}",14,11,25,0.44,25,1
7,7,71,suiGsz,D1:50:E0:2C:19,21,6,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00108,1,350,100,1,8,L1_ELL,L1_ELL,"{'L1_Shop_walkway_3': 2, 'L1_ELL': 11}",11,2,13,0.153846154,13,1
8,8,27,suHsN1,C7:0B:34:B2:3E,21,2,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00109,1,350,100,1,9,L1_Entrance_8,L1_Entrance_8,"{'L1_Entrance_8': 15, 'L1_Entrance_mrt': 3}",15,3,18,0.166666667,18,1
9,9,90,susA1h,ED:72:02:AF:50,24,5,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00110,1,350,100,1,10,L1_Entrance_7,L1_Entrance_7,{'L1_Entrance_7': 19},19,0,19,0,19,1
10,10,38,suPosh,DD:A8:EE:9F:23,23,12,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00111,2,350,100,1,11,L1_Entrance_1_lobby,L1_Entrance_1_lobby,"{'L2_L1_steps': 1, 'L1_Entrance_1_lobby': 39, 'L1_Entrance_1': 7, 'L1_Yassin_walkway': 2, 'L1_CP_zone_2': 3, 'L1_CP_zone_3': 2}",39,15,54,0.277777778,48,0.888888889
11,11,120,Vu0H6p,F1:B3:C4:03:63,,,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00112,2,350,100,1,12,L1_CP_zone_2,L1_CP_zone_2,"{'L2_L1_steps': 1, 'L1_Entrance_1_lobby': 1, 'L1_Yassin_walkway': 12, 'L1_Shop_walkway_1': 1, 'L1_Shop_walkway_2': 1, 'L1_CP_zone_2': 14, 'L2_FC_zone_8_walkway': 1, 'L1_Entrance_7': 1}",14,18,32,0.5625,26,0.8125
12,12,117,Vukmrv,CA:3D:EB:97:A8,,,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00113,2,350,100,1,13,L1_CP_zone_3,L1_CP_zone_3,"{'L1_CP_zone_3': 6, 'L1_Fish_pond': 5, 'L1_CP_zone_1': 1, 'L1_CP_zone_4': 8, 'L1_Entrance_4': 2}",6,16,22,0.727272727,17,0.772727273
