ind,user_id,date,yes_no,start_etime,end_etime,start_stime,end_stime,source,target,trip_time_sec,path
0,020A4BB7-2A70-4605-A8DC-E60B7F4A84DC,02/11/2021,yes,1613021022469,1613021073134,2021-02-11 13:23:42,2021-02-11 13:24:33,L1_CP_zone_2,L1_Entrance_1_lobby,50,"['L1_CP_zone_2', 'L1_Yassin_walkway', 'L1_Entrance_1_lobby']"
1,020A4BB7-2A70-4605-A8DC-E60B7F4A84DC,02/11/2021,yes,1613043599097,1613043630161,2021-02-11 19:39:59,2021-02-11 19:40:30,L1_Shop_walkway_2,L1_Entrance_8,31,"['L1_Shop_walkway_2', 'L1_Shop_walkway_3', 'L1_ELL', 'L1_Entrance_8']"
2,020A4BB7-2A70-4605-A8DC-E60B7F4A84DC,02/10/2021,yes,1612950781779,1612950817736,2021-02-10 17:53:01,2021-02-10 17:53:37,L1_Entrance_1,L1_RR_walkway,35,"['L1_Entrance_1', 'L1_SLL_corridor', 'L1_RR_walkway']"
3,020A4BB7-2A70-4605-A8DC-E60B7F4A84DC,02/10/2021,yes,1612953764808,1612953783128,2021-02-10 18:42:44,2021-02-10 18:43:03,L1_Shop_walkway_3,L1_Entrance_8,18,"['L1_Shop_walkway_3', 'L1_ELL', 'L1_Entrance_8']"
4,09199E48-91CD-4347-8BBD-E16B1A273BEE,02/09/2021,yes,1612867992374,1612868587500,2021-02-09 18:53:12,2021-02-09 19:03:07,L2_FC_zone_11,L1_PG,595,"['L2_FC_zone_11', 'L2_FC_zone_9_walkway', 'L2_FC_zone_8_walkway', 'L2_FC_zone_8', 'L2_FC_zone_8_walkway', 'L2_CLL', 'L1_CLL', 'B1_CLL', 'B1_Posb_bank', 'B1_Supermarket_entrance_1', 'L1_Shop_walkway_3', 'L1_Shop_walkway_2', 'L1_Shop_walkway_1', 'L1_CP_zone_2', 'L1_CP_zone_1', 'L1_Entrance_6', 'L1_Thoroughfare', 'L1_PG']"
5,09199E48-91CD-4347-8BBD-E16B1A273BEE,02/09/2021,yes,1612869139584,1612869467130,2021-02-09 19:12:19,2021-02-09 19:17:47,L1_Thoroughfare,L1_Entrance_1,327,"['L1_Thoroughfare', 'L1_PG', 'L1_Entrance_5', 'L1_Entrance_6', 'L1_R2_LL', 'B1_R2_LL', 'B2_R2_LL', 'B2_Carpark_zone_5', 'B2_Carpark_zone_6', 'B2_Carpark_zone_5', 'B2_Carpark_zone_3', 'B2_R1_LL', 'B1_R1_LL', 'L1_R1_LL', 'L1_R1_LL_walkway', 'L1_Entrance_1_lobby', 'L1_Entrance_1', 'L1_SLL_corridor', 'L1_SLL', 'B1_SLL', 'B2_SLL', 'B2_Carpark_zone_1', 'B2_SLL', 'B1_SLL', 'B1_Carpark_zone_1', 'B1_SLL', 'L1_SLL', 'L1_SLL_corridor', 'L1_Entrance_1']"
6,124c322635f507a3,02/19/2021,yes,1613711491252,1613711861974,2021-02-19 13:11:31,2021-02-19 13:17:41,L1_CP_zone_2,L2_FC_zone_11,370,"['L1_CP_zone_2', 'L1_CP_zone_3', 'L1_CP_zone_2', 'L1_Yassin_walkway', 'L2_FC_zone_1', 'L2_FC_zone_8', 'L2_FC_zone_8_walkway', 'L2_FC_zone_7', 'L2_FC_zone_11']"
7,124c322635f507a3,02/19/2021,yes,1613712266218,1613712293075,2021-02-19 13:24:26,2021-02-19 13:24:53,L1_Entrance_2,L1_Entrance_1,26,"['L1_Entrance_2', 'L1_Entrance_3', 'L1_Entrance_2', 'L1_R1_LL_walkway', 'L1_Entrance_1_lobby', 'L1_Entrance_1']"
8,124d07cb1f75a428,02/19/2021,yes,1613716083579,1613718574033,2021-02-19 14:28:03,2021-02-19 15:09:34,L2_CLL,L1_Entrance_5,2490,"['L2_CLL', 'L2_FC_zone_8_walkway', 'L2_FC_zone_4', 'L2_FC_zone_5', 'L2_FC_zone_4', 'L2_FC_zone_1', 'L2_FC_zone_8', 'L2_FC_zone_1', 'L1_Yassin_walkway', 'L1_CP_zone_2', 'L1_Yassin_walkway', 'L1_Entrance_1_lobby', 'L1_Yassin_walkway', 'L1_CP_zone_2', 'L1_CP_zone_3', 'L1_CP_zone_4', 'L1_R2_LL', 'L1_Entrance_6', 'L1_Entrance_5', 'L1_Entrance_4', 'L1_Entrance_5', 'L1_Entrance_6', 'L1_Thoroughfare', 'L1_PG', 'L1_Entrance_5']"
9,124d07cb1f75a428,02/19/2021,yes,1613724921746,1613725894505,2021-02-19 16:55:21,2021-02-19 17:11:34,L1_Thoroughfare,L6_Deck_2,972,"['L1_Thoroughfare', 'L1_Entrance_6', 'L1_CP_zone_1', 'L1_CP_zone_2', 'L1_Shop_walkway_1', 'L1_CLL', 'L1_Shop_walkway_2', 'L1_CLL', 'L2_CLL', 'L3_CLL', 'L4_CLL', 'L6_CLL', 'L6_CCC_walkway', 'L6_ST_1', 'L6_PG', 'L6_PG_walkway', 'L6_Deck_1', 'L6_R1_LL_corridor', 'L6_Deck_2']"
